month,year,unemp_respondent,unemp_cpsr,unemp_psr,unemp_pcbs,supportHamas,supportFatah,supportOther,supportNone,armedattacks,armedattacks_civilians ,armedattacks_soldiers,armedattacks_settlers,govsup,source_unemployment,source_support,source_armed,source_govsup,question_unemployment,question_support,question_armed,question_govsup,size
July,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2006)",,,,,,,,NA
August,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2006,NA,NA,NA,NA,35.3,37.2,11.4,16.2,,,,,,,PSR_2006_Sep_Poll#21,PSR_2006_Sep_Poll#21,PSR_2006_Sep_Poll#21,,Which of the following political parties do you support?,Note: civilian only,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",NA
October,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2006)",,,,,,,,NA
November,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2006,NA,NA,NA,NA,36,33.3,13.3,17.4,,,,,,,PSR_2006_Dec_Poll#22,,,,Which of the following political parties do you support?,,,440
January,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2007)",,,,,,,,NA
February,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2007,NA,NA,NA,NA,32.9,33.1,14.4,19.6,,,,,,,PSR_2007_Mar_Poll#23,,,,Which of the following political parties do you support?,,,440
April,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2007)",,,,,,,,NA
May,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2007,NA,NA,NA,NA,29.1,33.4,13.9,23.7,,,,,,,PSR_2007_June_Poll#24,,,,Which of the following political parties do you support?,,,440
July,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2007)",,,,,,,,NA
August,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2007,NA,NA,NA,NA,28,39.2,14.7,27.6,,,,,,,PSR_2007_Sep_Poll#25,,PSR_2007_Sep_Poll#25,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
October,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2007)",,,,,,,,NA
November,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2007,NA,NA,NA,NA,23.6,38.9,14.9,22.8,,,,,,,PSR_2007_Dec_Poll#26,,,,Which of the following political parties do you support?,,,NA
January,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2008)",,,,,,,,NA
February,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2008,NA,NA,NA,NA,33.5,35.9,16.6,14.1,,,,,,,PSR_2008_Mar_Poll#27,PSR_2008_Mar_Poll#27,,,Which of the following political parties do you support?,Note: civilian only,,440
April,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2008)",,,,,,,,NA
May,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2008,NA,NA,NA,NA,26,35.4,15.3,23.3,,,,,,,PSR_2008_June_Poll#28,PSR_2008_June_Poll#28,,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2008)",,,,,,,,NA
August,2008,NA,NA,NA,NA,23.9,33.3,14.1,28.6,,,,,,,PSR_2008_Aug_Poll#29,,PSR_2008_Aug_Poll#29,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
September,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2008)",,,,,,,,NA
November,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2008,NA,NA,NA,NA,26.1,35.1,12.9,25.8,,,,,,,PSR_2008_Dec_Poll#30,PSR_2008_Dec_Poll#30,PSR_2008_Dec_Poll#30,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,440
January,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2009)",,,,,,,,NA
February,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2009,NA,NA,NA,NA,25,37.2,16.2,21.6,,,,,,,PSR_2009_Mar_Poll#31,PSR_2009_Mar_Poll#31,PSR_2009_Mar_Poll#31,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2009)",,,,,,,,NA
May,2009,NA,NA,NA,NA,24.9,40.6,16.4,18,,,,,,,PSR_2009_May_Poll#32,,PSR_2009_May_Poll#32,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
June,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
July,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2009)",,,,,,,,NA
August,2009,NA,NA,NA,NA,25.4,38.8,11.7,24.2,,,,,,,PSR_2009_Aug_Poll#33,,PSR_2009_Aug_Poll#33,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
September,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2009)",,,,,,,,NA
November,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2009,NA,NA,NA,NA,26.6,32.5,16.4,24.6,,,,,,,PSR_2009_Dec_Poll#34,PSR_2009_Dec_Poll#34,PSR_2009_Dec_Poll#34,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2010)",,,,,,,,NA
February,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2010,NA,NA,NA,NA,25.9,31,15.2,28,,,,,,,PSR_2010_Mar_Poll#35,PSR_2010_Mar_Poll#35,PSR_2010_Mar_Poll#35,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2010)",,,,,,,,NA
May,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2010,NA,NA,NA,NA,24.7,38.4,12.7,24,,,,,,,PSR_2010_June_Poll#36,PSR_2010_June_Poll#36,PSR_2010_June_Poll#36,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2010)",,,,,,,,NA
August,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2010,NA,NA,NA,NA,20.3,32.3,11.7,35.8,,,,,,"labour force survey_ILO standars (quarter4, 2010)",PSR_2010_Oct_Poll#37,PSR_2010_Oct_Poll#37,PSR_2010_Oct_Poll#37,,Which of the following political parties do you support?,Note: civilian and settlers,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
November,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2010,NA,NA,NA,NA,20.8,34,18.5,26.9,,,,,,,PSR_2010_Dec_Poll#38,PSR_2010_Dec_Poll#38,PSR_2010_Dec_Poll#38,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2011)",,,,,,,,NA
February,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2011,NA,NA,NA,NA,22.5,33.4,17.6,26.4,,,,,,,PSR_2011_Mar_Poll#39,PSR_2011_Mar_Poll#39,PSR_2011_Mar_Poll#39,,Which of the following political parties do you support?,Note: civilian and settlers,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2011)",,,,,,,,NA
May,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2011,NA,NA,NA,NA,26.4,36.1,15.3,22.2,,,,,,,PSR_2011_June_Poll#40,PSR_2011_June_Poll#40,PSR_2011_June_Poll#40,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2011)",,,,,,,,NA
August,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2011,NA,NA,NA,NA,28.4,32.4,16.1,23,,,,,,,PSR_2011_Sep_Poll#41,PSR_2011_Sep_Poll#41,PSR_2011_Sep_Poll#41,,Which of the following political parties do you support?,Note: civilian only,"Tell us how do you evaluate the performance of the government headed by Salam Fayyad in the areas of public services such as those of health, education, and road repairs? Is it good or bad?: very good + good",NA
October,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2011)",,,,,,,,NA
November,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2011,NA,NA,NA,NA,25,38.4,16,20.6,,,,,,,PSR_2011_Dec_Poll#42,PSR_2011_Dec_Poll#42,PSR_2011_Dec_Poll#42,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2012)",,,,,,,,NA
February,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2012,NA,NA,NA,NA,22.5,35.5,19.7,22.3,,,,,,,PSR_2012_Mar_Poll#43,PSR_2012_Mar_Poll#43,PSR_2012_Mar_Poll#43,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2012)",,,,,,,,NA
May,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2012,NA,NA,NA,NA,21.9,31.8,22.3,24,,,,,,,PSR_2012_June_Poll#44,PSR_2012_June_Poll#44,PSR_2012_June_Poll#44,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2012)",,,,,,,,NA
August,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2012,NA,NA,NA,NA,20.8,30,22.7,26.5,,,,,,,PSR_2012_Sep_Poll#45,PSR_2012_Sep_Poll#45,PSR_2012_Sep_Poll#45,,Which of the following political parties do you support?,Return to the armed intifada and confrontations,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
October,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2012)",,,,,,,,NA
November,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2012,NA,NA,NA,NA,30.6,31.4,18.5,19.5,,,,,,,PSR_2012_Dec_Poll#46,PSR_2012_Dec_Poll#46,PSR_2012_Dec_Poll#46,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2013)",,,,,,,,NA
February,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2013,NA,NA,NA,NA,24.8,34.4,19.5,21.2,,,,,,,PSR_2013_Mar_Poll#47,PSR_2013_Mar_Poll#47,PSR_2013_Mar_Poll#47,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2013)",,,,,,,,NA
May,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2013,NA,NA,NA,NA,29.7,30.5,17.7,22.1,,,,,,,PSR_2013_June_Poll#48,PSR_2013_June_Poll#48,,,,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
July,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2013)",,,,,,,,NA
August,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2013,NA,NA,NA,NA,26.9,30.1,25.3,17.7,,,,,,,PSR_2013_Sep_Poll#49,PSR_2013_Sep_Poll#49,PSR_2013_Sep_Poll#49,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government of Rami al Hamdallah in the West Bank? Is it good or bad?: very good + good,NA
October,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2013)",,,,,,,,NA
November,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2013,NA,NA,NA,NA,25.5,33,22.4,19.2,,,,,,,PSR_2013_Dec_Poll#50,PSR_2013_Dec_Poll#50,PSR_2013_Dec_Poll#50,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government of Rami al Hamdallah in the West Bank? Is it good or bad?: very good + good,NA
January,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2014)",,,,,,,,NA
February,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2014,NA,NA,NA,NA,28.5,30,24.9,16.7,,,,,,,PSR_2014_Mar_Poll#51,PSR_2014_Mar_Poll#51,PSR_2014_Mar_Poll#51,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government of Rami al Hamdallah in the West Bank? Is it good or bad?: very good + good,NA
April,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2014)",,,,,,,,NA
May,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2014,NA,NA,NA,NA,29.2,33.9,20.7,16,,,,,,,PSR_2014_June_Poll#52,PSR_2014_June_Poll#52,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
July,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2014)",,,,,,,,NA
August,2014,NA,NA,NA,NA,35.3,32.7,19.6,12.4,,,,,,,PSR_2014_June_Poll#Special,PSR_2014_June_Poll#Special,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","How do you evaluate the performance of the following Palestinian actors during
the Gaza war?(The reconciliation government) : very good + good",NA
September,2014,NA,NA,NA,NA,32.1,33.5,20.3,14,,,,,,,PSR_2014_Sep_Poll#53,PSR_2014_Sep_Poll#53,PSR_2014_Sep_Poll#53,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, about five months after the formation of the reconciliation government, are you
satisfied or dissatisfied with its performance?: Certainly satisfy  + satisfy",NA
October,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2014)",,,,,,,,NA
November,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
January,2015,NA,NA,NA,NA,30.7,28.4,26.7,14.5,,,,,,"labour force survey_ILO standars (quarter1, 2015)",PSR_2015_Jan_Poll#54,PSR_2015_Jan_Poll#54,PSR_2015_Jan_Poll#54,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, about five months after the formation of the reconciliation government, are you
satisfied or dissatisfied with its performance?: Certainly satisfy  + satisfy",NA
February,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
April,2015,NA,NA,NA,NA,30.7,30.9,24,14.5,,,,,,"labour force survey_ILO standars (quarter2, 2015)",PSR_2015_Apr_Poll#55,PSR_2015_Apr_Poll#55,PSR_2015_Apr_Poll#55,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, about 10 months after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
May,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2015,NA,NA,NA,NA,28.5,32.2,23.6,15.7,,,,,,,PSR_2015_June_Poll#56,PSR_2015_June_Poll#56,PSR_2015_June_Poll#56,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
July,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2015)",,,,,,,,NA
August,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2015,NA,NA,NA,NA,25.9,29.4,25.6,19.2,,,,,,"labour force survey_ILO standars (quarter4, 2015)",PSR_2015_Oct_Poll#57,PSR_2015_Oct_Poll#57,PSR_2015_Oct_Poll#57,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
November,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2015,NA,NA,NA,NA,27.7,31.8,23.6,17,,,,,,,PSR_2015_Dec_Poll#58,PSR_2015_Dec_Poll#58,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
January,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2016)",,,,,,,,NA
February,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2016,NA,NA,NA,NA,33.2,31.4,20.4,14.8,,,,,,,PSR_2016_Mar_Poll#59,PSR_2016_Mar_Poll#59,PSR_2016_Mar_Poll#59,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
April,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2016)",,,,,,,,NA
May,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2016,NA,NA,NA,NA,30,30.6,22.1,17.4,,,,,,,PSR_2016_June_Poll#60,PSR_2016_June_Poll#60,PSR_2016_June_Poll#60,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
July,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2016)",,,,,,,,NA
August,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2016,NA,NA,NA,NA,29.6,32.3,19.7,18.4,,,,,,,PSR_2016_Sep_Poll#61,PSR_2016_Sep_Poll#61,PSR_2016_Sep_Poll#61,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
October,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2016)",,,,,,,,NA
November,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2016,NA,NA,NA,NA,27.8,32.3,23.4,16.5,,,,,,,PSR_2016_Dec_Poll#62,PSR_2016_Dec_Poll#62,PSR_2016_Dec_Poll#62,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
January,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2017)",,,,,,,,NA
February,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2017,NA,NA,NA,NA,27,34.1,22.3,16.6,,,,,,,PSR_2017_Mar_Poll#63,PSR_2017_Mar_Poll#63,PSR_2017_Mar_Poll#63,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than two years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
April,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2017)",,,,,,,,NA
May,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
July,2017,NA,NA,NA,NA,26.4,26,27.1,20.7,,,,,,"labour force survey_ILO standars (quarter3, 2017)",PSR_2017_July_Poll#64,PSR_2017_July_Poll#64,PSR_2017_July_Poll#64,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than two years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
August,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2017,NA,NA,NA,NA,28,24,29,18,,,,,,,PSR_2017_Sep_Poll#65,PSR_2017_Sep_Poll#65,PSR_2017_Sep_Poll#65,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than three years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
October,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2017)",,,,,,,,NA
November,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2017,NA,NA,NA,NA,30.9,23.7,33.1,12.2,,,,,,,PSR_2017_Dec_Poll#66,PSR_2017_Dec_Poll#66,PSR_2017_Dec_Poll#66,,Which of the following political parties do you support?,Note: civilian only,"Now, more than three years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
January,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2018)",,,,,,,,NA
February,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2018,NA,NA,NA,NA,26.6,25.2,29.9,18.4,,,,,,,PSR_2018_Mar_Poll#67,PSR_2018_Mar_Poll#67,PSR_2018_Mar_Poll#67,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than four years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
April,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2018)",,,,,,,,NA
May,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
July,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2018)",,PSR_2018_July_Poll#68,PSR_2018_July_Poll#68,PSR_2018_July_Poll#68,,Return to the armed intifada and confrontations ,"Now, more than four years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
August,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2018,NA,NA,NA,NA,29.4,27,29.2,16.8,,,,,,,PSR_2018_Sep_Poll#69,PSR_2018_Sep_Poll#69,PSR_2018_Sep_Poll#69,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than four years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
October,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2018)",,,,,,,,NA
November,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2018,NA,NA,NA,NA,28.3,24.3,30.1,17.3,,,,,,,PSR_2018_Dec_Poll#70,PSR_2018_Dec_Poll#70,PSR_2018_Dec_Poll#70,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
January,2019,NA,NA,NA,NA,,,,,,,,,,"labour force survey_ILO standars (quarter1, 2019)",,,,,,,,NA
February,2019,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA
March,2019,NA,NA,NA,NA,,,,,,,,,,,,PSR_2019_Mar_Poll#71,,,,Return to the armed intifada and confrontations ,,NA
April,2019,NA,NA,NA,NA,,,,,,,,,,"labour force survey_ILO standars (quarter2, 2019)",,,,,,,,NA
May,2019,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA
