month,year,unemp_respondent,unemp_cpsr,unemp_psr,unemp_pcbs,supportHamas,supportFatah,supportOther,supportNone,armedattacks,armedattacks_civilians ,armedattacks_soldiers,armedattacks_settlers,govsup,source_unemployment,source_support,source_armed,source_govsup,question_unemployment,question_support,question_armed,question_govsup,size
July,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2006)",,,,,,,,NA
August,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2006,NA,NA,NA,NA,25.3,30.9,16.9,27,,,,,,,PSR_2006_Sep_Poll#21,PSR_2006_Sep_Poll#21,PSR_2006_Sep_Poll#21,,Which of the following political parties do you support?,Note: civilian only,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",NA
October,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2006)",,,,,,,,NA
November,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2006,NA,NA,NA,NA,25.4,31.7,17.7,25.3,,,,,,,PSR_2006_Dec_Poll#22,,,,Which of the following political parties do you support?,,,830
January,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2007)",,,,,,,,NA
February,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2007,NA,NA,NA,NA,23.2,26.8,20.1,29.8,,,,,,,PSR_2007_Mar_Poll#23,,,,Which of the following political parties do you support?,,,830
April,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2007)",,,,,,,,NA
May,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2007,NA,NA,NA,NA,17.8,28.7,16.9,36.6,,,,,,,PSR_2007_June_Poll#24,,,,Which of the following political parties do you support?,,,830
July,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2007)",,,,,,,,NA
August,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2007,NA,NA,NA,NA,16.5,33.5,16.6,18.2,,,,,,,PSR_2007_Sep_Poll#25,,PSR_2007_Sep_Poll#25,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
October,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2007)",,,,,,,,NA
November,2007,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2007,NA,NA,NA,NA,18.8,34.7,15.5,31.1,,,,,,,PSR_2007_Dec_Poll#26,,,,Which of the following political parties do you support?,,,NA
January,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2008)",,,,,,,,NA
February,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2008,NA,NA,NA,NA,19.6,28,19.4,33,,,,,,,PSR_2008_Mar_Poll#27,PSR_2008_Mar_Poll#27,,,Which of the following political parties do you support?,Note: civilian only,,830
April,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2008)",,,,,,,,NA
May,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2008,NA,NA,NA,NA,19.2,30.5,13.9,36.2,,,,,,,PSR_2008_June_Poll#28,PSR_2008_June_Poll#28,,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2008)",,,,,,,,NA
August,2008,NA,NA,NA,NA,18.4,29.3,15.5,36.9,,,,,,,PSR_2008_Aug_Poll#29,,PSR_2008_Aug_Poll#29,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
September,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2008)",,,,,,,,NA
November,2008,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2008,NA,NA,NA,NA,17,29.8,16.2,37.1,,,,,,,PSR_2008_Dec_Poll#30,PSR_2008_Dec_Poll#30,PSR_2008_Dec_Poll#30,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,830
January,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2009)",,,,,,,,NA
February,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2009,NA,NA,NA,NA,21.9,27.1,18.1,32.8,,,,,,,PSR_2009_Mar_Poll#31,PSR_2009_Mar_Poll#31,PSR_2009_Mar_Poll#31,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2009)",,,,,,,,NA
May,2009,NA,NA,NA,NA,23.4,30.6,14.1,32,,,,,,,PSR_2009_May_Poll#32,,PSR_2009_May_Poll#32,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
June,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
July,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2009)",,,,,,,,NA
August,2009,NA,NA,NA,NA,15.2,30.7,18.3,36,,,,,,,PSR_2009_Aug_Poll#33,,PSR_2009_Aug_Poll#33,,Which of the following political parties do you support?,,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
September,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2009)",,,,,,,,NA
November,2009,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2009,NA,NA,NA,NA,17.8,33.1,17.7,31.3,,,,,,,PSR_2009_Dec_Poll#34,PSR_2009_Dec_Poll#34,PSR_2009_Dec_Poll#34,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2010)",,,,,,,,NA
February,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2010,NA,NA,NA,NA,19.1,29.6,16,35.4,,,,,,,PSR_2010_Mar_Poll#35,PSR_2010_Mar_Poll#35,PSR_2010_Mar_Poll#35,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2010)",,,,,,,,NA
May,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2010,NA,NA,NA,NA,15.3,32.3,15.1,37.3,,,,,,,PSR_2010_June_Poll#36,PSR_2010_June_Poll#36,PSR_2010_June_Poll#36,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2010)",,,,,,,,NA
August,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2010,NA,NA,NA,NA,16.7,29.5,15.1,38.7,,,,,,,PSR_2010_OCT_Poll#37,PSR_2010_OCT_Poll#37,PSR_2010_OCT_Poll#37,,Which of the following political parties do you support?,Note: civilian and settlers,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
November,2010,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2010,NA,NA,NA,NA,17.5,30,14.1,38.3,,,,,,,PSR_2010_Dec_Poll#38,PSR_2010_Dec_Poll#38,PSR_2010_Dec_Poll#38,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2011)",,,,,,,,NA
February,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2011,NA,NA,NA,NA,13.5,29.1,18.5,39.1,,,,,,,PSR_2011_Mar_Poll#39,PSR_2011_Mar_Poll#39,PSR_2011_Mar_Poll#39,,Which of the following political parties do you support?,Note: civilian and settlers,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2011)",,,,,,,,NA
May,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2011,NA,NA,NA,NA,13.9,31.3,15,40,,,,,,,PSR_2011_June_Poll#40,PSR_2011_June_Poll#40,PSR_2011_June_Poll#40,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2011)",,,,,,,,NA
August,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2011,NA,NA,NA,NA,12.8,35.2,14.3,37.7,,,,,,,PSR_2011_Sep_Poll#41,PSR_2011_Sep_Poll#41,PSR_2011_Sep_Poll#41,,Which of the following political parties do you support?,Note: civilian only,"Tell us how do you evaluate the performance of the government headed by Salam Fayyad in the areas of public services such as those of health, education, and road repairs? Is it good or bad?: very good + good",NA
October,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2011)",,,,,,,,NA
November,2011,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2011,NA,NA,NA,NA,16.5,35,12.1,36.5,,,,,,,PSR_2011_Dec_Poll#42,PSR_2011_Dec_Poll#42,PSR_2011_Dec_Poll#42,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2012)",,,,,,,,NA
February,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2012,NA,NA,NA,NA,18.9,32.2,12.1,36.9,,,,,,,PSR_2012_Mar_Poll#43,PSR_2012_Mar_Poll#43,PSR_2012_Mar_Poll#43,,Which of the following political parties do you support?,Note: civilian only,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2012)",,,,,,,,NA
May,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2012,NA,NA,NA,NA,16.1,30.5,13.8,39.6,,,,,,,PSR_2012_June_Poll#44,PSR_2012_June_Poll#44,PSR_2012_June_Poll#44,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
July,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2012)",,,,,,,,NA
August,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2012,NA,NA,NA,NA,13.1,26.9,13.2,46.7,,,,,,,PSR_2012_Sep_Poll#45,PSR_2012_Sep_Poll#45,PSR_2012_Sep_Poll#45,,Which of the following political parties do you support?,Return to the armed intifada and confrontations,Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
October,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2012)",,,,,,,,NA
November,2012,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2012,NA,NA,NA,NA,22.4,27.3,12.6,37.8,,,,,,,PSR_2012_Dec_Poll#46,PSR_2012_Dec_Poll#46,PSR_2012_Dec_Poll#46,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
January,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2013)",,,,,,,,NA
February,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2013,NA,NA,NA,NA,14.8,28.7,12.8,43.7,,,,,,,PSR_2013_Mar_Poll#47,PSR_2013_Mar_Poll#47,PSR_2013_Mar_Poll#47,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government headed by Salam Fayyad? Is it good or bad? : Very good + good,NA
April,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2013)",,,,,,,,NA
May,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2013,NA,NA,NA,NA,15.7,29.3,11.9,43.1,,,,,,,PSR_2013_June_Poll#48,PSR_2013_June_Poll#48,,,,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
July,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2013)",,,,,,,,NA
August,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2013,NA,NA,NA,NA,14.4,27.7,10.6,47.2,,,,,,,PSR_2013_Sep_Poll#49,PSR_2013_Sep_Poll#49,PSR_2013_Sep_Poll#49,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government of Rami al Hamdallah in the West Bank? Is it good or bad?: very good + good,NA
October,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2013)",,,,,,,,NA
November,2013,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2013,NA,NA,NA,NA,15.9,28.4,13.2,42.5,,,,,,,PSR_2013_Dec_Poll#50,PSR_2013_Dec_Poll#50,PSR_2013_Dec_Poll#50,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government of Rami al Hamdallah in the West Bank? Is it good or bad?: very good + good,NA
January,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2014)",,,,,,,,NA
February,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2014,NA,NA,NA,NA,12.1,28.2,11.9,47.7,,,,,,,PSR_2014_Mar_Poll#51,PSR_2014_Mar_Poll#51,PSR_2014_Mar_Poll#51,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",Tell us how do you evaluate the performance of the government of Rami al Hamdallah in the West Bank? Is it good or bad?: very good + good,NA
April,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2014)",,,,,,,,NA
May,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2014,NA,NA,NA,NA,15.6,30.4,11.9,42,,,,,,,PSR_2014_June_Poll#52,PSR_2014_June_Poll#52,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
July,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2014)",,,,,,,,NA
August,2014,NA,NA,NA,NA,35.5,19.7,10.6,34.3,,,,,,,PSR_2014_June_Poll#Special,PSR_2014_June_Poll#Special,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","How do you evaluate the performance of the following Palestinian actors during
the Gaza war?(The reconciliation government) : very good + good",NA
September,2014,NA,NA,NA,NA,25.5,23,9.4,42.2,,,,,,,PSR_2014_Sep_Poll#53,PSR_2014_Sep_Poll#53,PSR_2014_Sep_Poll#53,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, about five months after the formation of the reconciliation government, are you
satisfied or dissatisfied with its performance?: Certainly satisfy  + satisfy",NA
October,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2014)",,,,,,,,NA
November,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2014,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
January,2015,NA,NA,NA,NA,19.7,23.2,11.8,45.3,,,,,,"labour force survey_ILO standars (quarter1, 2015)",PSR_2015_Jan_Poll#54,PSR_2015_Jan_Poll#54,PSR_2015_Jan_Poll#54,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, about five months after the formation of the reconciliation government, are you
satisfied or dissatisfied with its performance?: Certainly satisfy  + satisfy",NA
February,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
April,2015,NA,NA,NA,NA,17.9,29,10.4,42.7,,,,,,"labour force survey_ILO standars (quarter2, 2015)",PSR_2015_Apr_Poll#55,PSR_2015_Apr_Poll#55,PSR_2015_Apr_Poll#55,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, about 10 months after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
May,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2015,NA,NA,NA,NA,19.6,26.5,13.2,40.7,,,,,,,PSR_2015_June_Poll#56,PSR_2015_June_Poll#56,PSR_2015_June_Poll#56,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
July,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2015)",,,,,,,,NA
August,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
October,2015,NA,NA,NA,NA,22.7,22.8,13.5,41.2,,,,,,"labour force survey_ILO standars (quarter4, 2015)",PSR_2015_Oct_Poll#57,PSR_2015_Oct_Poll#57,PSR_2015_Oct_Poll#57,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
November,2015,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2015,NA,NA,NA,NA,20.5,21.1,10.7,47.6,,,,,,,PSR_2015_Dec_Poll#58,PSR_2015_Dec_Poll#58,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
January,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2016)",,,,,,,,NA
February,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2016,NA,NA,NA,NA,22.1,23.7,11,43.4,,,,,,,PSR_2016_Mar_Poll#59,PSR_2016_Mar_Poll#59,PSR_2016_Mar_Poll#59,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
April,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2016)",,,,,,,,NA
May,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2016,NA,NA,NA,NA,21.5,27.1,9.3,42.1,,,,,,,PSR_2016_June_Poll#60,PSR_2016_June_Poll#60,PSR_2016_June_Poll#60,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
July,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2016)",,,,,,,,NA
August,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2016,NA,NA,NA,NA,17.9,27.7,10.6,43.7,,,,,,,PSR_2016_Sep_Poll#61,PSR_2016_Sep_Poll#61,PSR_2016_Sep_Poll#61,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
October,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2016)",,,,,,,,NA
November,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2016,NA,NA,NA,NA,17.3,27.3,12.4,42.9,,,,,,,PSR_2016_Dec_Poll#62,PSR_2016_Dec_Poll#62,PSR_2016_Dec_Poll#62,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than a year after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
January,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2017)",,,,,,,,NA
February,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2017,NA,NA,NA,NA,16.9,24.3,15.1,43.7,,,,,,,PSR_2017_Mar_Poll#63,PSR_2017_Mar_Poll#63,PSR_2017_Mar_Poll#63,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than two years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
April,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2017)",,,,,,,,NA
May,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
July,2017,NA,NA,NA,NA,13.9,27.6,13.1,45.5,,,,,,"labour force survey_ILO standars (quarter3, 2017)",PSR_2017_July_Poll#64,PSR_2017_July_Poll#64,PSR_2017_July_Poll#64,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than two years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
August,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2017,NA,NA,NA,NA,16,25,11,47,,,,,,,PSR_2017_Sep_Poll#65,PSR_2017_Sep_Poll#65,PSR_2017_Sep_Poll#65,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than three years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
October,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2017)",,,,,,,,NA
November,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2017,NA,NA,NA,NA,14.7,28.1,11.6,45.6,,,,,,,PSR_2017_Dec_Poll#66,PSR_2017_Dec_Poll#66,PSR_2017_Dec_Poll#66,,Which of the following political parties do you support?,Note: civilian only,"Now, more than three years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
January,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2018)",,,,,,,,NA
February,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2018,NA,NA,NA,NA,16.1,24.4,11.5,48,,,,,,,PSR_2018_Mar_Poll#67,PSR_2018_Mar_Poll#67,PSR_2018_Mar_Poll#67,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than four years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
April,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2018)",,,,,,,,NA
May,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
July,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2018)",,PSR_2018_July_Poll#68,PSR_2018_July_Poll#68,PSR_2018_July_Poll#68,,Return to the armed intifada and confrontations ,"Now, more than four years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
August,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2018,NA,NA,NA,NA,12.9,27.7,9.5,50.1,,,,,,,PSR_2018_Sep_Poll#69,PSR_2018_Sep_Poll#69,PSR_2018_Sep_Poll#69,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ","Now, more than four years after the formation of the reconciliation government, are you satisfied or dissatisfied with its performance?: certainly satisfy + satisfy",NA
October,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2018)",,,,,,,,NA
November,2018,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2018,NA,NA,NA,NA,17.4,25.8,12.3,44.5,,,,,,,PSR_2018_Dec_Poll#70,PSR_2018_Dec_Poll#70,PSR_2018_Dec_Poll#70,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
January,2019,NA,NA,NA,NA,,,,,,,,,,"labour force survey_ILO standars (quarter1, 2019)",,,,,,,,NA
February,2019,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA
March,2019,NA,NA,NA,NA,,,,,,,,,,,,PSR_2019_Mar_Poll#71,,,,Return to the armed intifada and confrontations ,,NA
April,2019,NA,NA,NA,NA,,,,,,,,,,"labour force survey_ILO standars (quarter2, 2019)",,,,,,,,NA
May,2019,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA
June,2019,NA,NA,NA,NA,,,,,,,,,,,PSR_2019_June_Poll#72,PSR_2019_June_Poll#72,,,Which of the following political parties do you support?,"Note: 1)civilian
2) Return to the armed intifada and confrontations ",,NA
